"sdp_id,customerId,customerName, store_id,store_name,dc_id,dc_name,open_date,close_date,mark_for_exclude,phone,street_name"
"100,10100,First Awesome toy Customer,1001,Awesome toy Customer Store,,Awesome toy Distribution Name,1962-09-04,9999-12-31,FALSE,4555559988,123 Everything is Awesome Street"
"100,10100,First Awesome toy Customer,1002,Second Awesome toy Customer Store,0551,Awesome toy Distribution Name,1962-09-04,9999-12-31,FALSE,4555559988,123 Everything is Awesome Street"
"100,10100,First Awesome toy Customer,1003,Third Awesome toy Customer Store,0551,Awesome toy Distribution Name,1962-09-04,9999-12-31,FALSE,4555559988,123 Everything is Awesome Street"
"100,10100,First Awesome toy Customer,1004,Fourth Awesome toy Customer Store,0551,Awesome toy Distribution Name,1962-09-04,9999-12-31,FALSE,4555559988,123 Everything is Awesome Street"
"100,10100,First Awesome toy Customer,1005,Fifth Awesome toy Customer Store,0551,Awesome toy Distribution Name,1962-09-04,9999-12-31,FALSE,4555559988,123 Everything is Awesome Street"
"100,10100,First Awesome toy Customer,1006,Sixth Awesome toy Customer Store,0551,Awesome toy Distribution Name,1962-09-04,9999-12-31,FALSE,4555559988,123 Everything is Awesome Street"
"100,10100,First Awesome toy Customer,1007,Seventh Awesome toy Customer Store,0551,Awesome toy Distribution Name,1962-09-04,9999-12-31,FALSE,4555559988,123 Everything is Awesome Street"
"100,10100,First Awesome toy Customer,1008,Eighth Awesome toy Customer Store,0551,Awesome toy Distribution Name,1962-09-04,9999-12-31,FALSE,4555559988,123 Everything is Awesome Street"
"100,10100,First Awesome toy Customer,1009,Ninth Awesome toy Customer Store,0551,Awesome toy Distribution Name,1962-09-04,9999-12-31,FALSE,4555559988,123 Everything is Awesome Street"
"100,10100,First Awesome toy Customer,1010,Tenth Awesome toy Customer Store,0551,Awesome toy Distribution Name,1962-09-04,9999-12-31,FALSE,4555559988,123 Everything is Awesome Street"
"100,10100,First Awesome toy Customer,1011,Eleventh Awesome toy Customer Store,0551,Awesome toy Distribution Name,1962-09-04,9999-12-31,FALSE,4555559988,123 Everything is Awesome Street"
"100,10100,First Awesome toy Customer,1012,Thirteenth Awesome toy Customer Store,0551,Awesome toy Distribution Name,1962-09-04,9999-12-31,FALSE,4555559988,123 Everything is Awesome Street"
